,climate,genotype,Ptot_>20,Ptot_20-25,Ptot_>25,Ptot_25-30,Ptot_>30,Ptot_<5,P300_>20,P300_20-25,P300_>25,P300_25-30,P300_<5,P600_>20,P600_20-25,P600_>25,P600_25-30,P600_<5,P1000_>20,P1000_20-25,P1000_>25,P1000_25-30,P1000_>30,Pharv_>20,Pharv_20-25,Pharv_>25,Pharv_25-30,Pharvt_>30,seed_yield,seed_nb,PMG,lipids,proteins
77,0,1,31.0,25.0,6.0,5.0,1.0,8.0,2.0,2.0,0.0,0.0,7.0,3.0,3.0,0.0,0.0,1.0,8.0,6.0,2.0,2.0,0.0,18.0,14.0,4.0,3.0,1.0,38.21,84917.0,4.5,47.2,14.0
78,0,0,29.0,20.0,9.0,8.0,1.0,6.0,6.0,5.0,1.0,1.0,6.0,2.0,2.0,0.0,0.0,0.0,9.0,8.0,1.0,1.0,0.0,13.0,6.0,7.0,6.0,1.0,30.74,60637.66,5.07,49.6,17.7
79,0,0,29.0,20.0,9.0,8.0,1.0,6.0,6.0,5.0,1.0,1.0,6.0,2.0,2.0,0.0,0.0,0.0,9.0,8.0,1.0,1.0,0.0,13.0,6.0,7.0,6.0,1.0,28.73,55979.77,5.13,47.7,19.2
80,0,0,29.0,20.0,9.0,8.0,1.0,6.0,6.0,5.0,1.0,1.0,6.0,2.0,2.0,0.0,0.0,0.0,9.0,8.0,1.0,1.0,0.0,13.0,6.0,7.0,6.0,1.0,34.6,70585.9,4.9,48.9,18.5
81,0,0,29.0,20.0,9.0,8.0,1.0,6.0,6.0,5.0,1.0,1.0,6.0,2.0,2.0,0.0,0.0,0.0,9.0,8.0,1.0,1.0,0.0,13.0,6.0,7.0,6.0,1.0,37.08,71039.16,5.22,49.4,18.9
82,0,0,29.0,20.0,9.0,8.0,1.0,6.0,6.0,5.0,1.0,1.0,6.0,2.0,2.0,0.0,0.0,0.0,9.0,8.0,1.0,1.0,0.0,13.0,6.0,7.0,6.0,1.0,28.26,57781.11,4.89,50.6,17.2
83,0,0,29.0,20.0,9.0,8.0,1.0,6.0,6.0,5.0,1.0,1.0,6.0,2.0,2.0,0.0,0.0,0.0,9.0,8.0,1.0,1.0,0.0,13.0,6.0,7.0,6.0,1.0,28.58,53466.33,5.34,49.5,18.2
84,0,1,29.0,20.0,9.0,8.0,1.0,8.0,6.0,5.0,1.0,1.0,6.0,2.0,2.0,0.0,0.0,2.0,7.0,6.0,1.0,1.0,0.0,14.0,7.0,7.0,6.0,1.0,30.35,69210.51,4.39,52.0,17.8
85,0,1,29.0,20.0,9.0,8.0,1.0,8.0,6.0,5.0,1.0,1.0,6.0,2.0,2.0,0.0,0.0,2.0,7.0,6.0,1.0,1.0,0.0,14.0,7.0,7.0,6.0,1.0,35.39,77977.39,4.54,51.2,17.5
86,0,1,29.0,20.0,9.0,8.0,1.0,8.0,6.0,5.0,1.0,1.0,6.0,2.0,2.0,0.0,0.0,2.0,7.0,6.0,1.0,1.0,0.0,14.0,7.0,7.0,6.0,1.0,30.96,66562.99,4.65,52.3,17.4
